review_id,user_id,business_id,stars,date,text,useful,funny,cool
8UwX2h_0-dj3rjYSynkjDA,88bX84kj-1Rk77wfrZ62JQ,dTA9Dp9Ui3igZlS30trPvA,1,2015-09-05,"This location is CLOSED.According to the HairMasters website, they no longer have any locations in Nevada.There is a Supercuts in the same shopping center (Smith's, at Lake Mead and Rampart).  In fact, if you call the number listed here for HairMasters, it will currently ring at Supercuts.",0,0,0
KXMVittO1JT6dbUUO8mygA,Ybd7DlpynVBDmddZP2HbcQ,sHIG0hjQHoxal9a1zwSinw,5,2017-06-09,"Just walking in, the place smells fantastic. Great food. Warm, welcoming atmosphere. First timers try the feast. Great to bring a date.",0,0,0
rmeeDYY_c4x1edQ7UxuCXQ,Mc3r9PPiM6syqVe7di2d2A,FmwDfn5J7Y8Uvv_FY7iUxQ,1,2016-05-09,"Came here for mother's day dinner. We knew it was going to be a busy night for the restaurant so we expected slow service.  We have come to blue lagoon many times before since it is one of the most decent chinese restaurants in the area: but tonight's experience made us decide not to come back ever again!Food: because it was mothers day, the restaurant made you to order from their ""special mothers day"" menu; which are all expensive set courses. So you stuck with ordering crabs and lobsters  ( min $250+ for 4 ppl ).Service: no service.  No tea, no water, took 20 mins to finally order the food. Waited 20+ mins for EACH dish to come out. Still no tea, no water. The food came out so slow we decided to get the last few dishes to go. When we asked for the bill we asked if we can get the regular dessert that came with the food; they never come. Although it did take the server less than one minute to get the bill!Aviod this place!!",4,1,1
5k7EnllROF-yE68R6FyGKQ,eSS3h5NOoddJ1qW4W0Gsmw,VGWEpMEkzQopS5lUNd06Sw,5,2017-03-04,Went in last night to meet my wife. She had an incident where someone stole her purse. The management and staff were incredibly helpful and supportive. Due to their efforts we were able to track down the person and all her things were  returned! I just wanted to take the time to thank them!!! The bartenders and managers Are top notch!,0,0,0
evT_-XhANFig3ifzPWm8Hg,JLMf3kbhHk7g-us7BIUSEQ,glTBzDHv9wNhEsZa4bQrOA,5,2008-01-08,"For a place that is modeled after a Brothel, I never thought the thing that would stick with me the most would be the food......Me and my friends went and hit this place up for dinner the day after it opened and were pleasantly surprised. We went expecting sub par food engorged in a world of burlesque dancers and got amazing food with a subtly intimate decor. Yes there are viewing windows were every twenty minutes or so a young woman in lingerie would come out and to things like sew and try on clothes. But that gets old after the first time you see it .What the true appeal to this place is the food, for an appetizer we had cracked pepper chicken wings that were full of flavor and the spice was not over powering. For dinner I had the beef braised ribs, and they were truly not what I expected. I figured they might have a bone, but no they were three little pieces of meat on top of mixture of squash and corn.At one point I actually had to ask the waitress what the hell I was eating because I had no idea that corn and squash were supposed to go together. But they pulled it off and I actually left full of a rather small a la cart portion. Its a little pricey, but nothing too over the top.All in all it was one of the better meals I've ever had and it was completely out of left field. I guess it doesn't hurt to have celebrity chef Kerry Simon at the helm of the menu.Bottom line go here because you have a touch of the perv in you, go again because you enjoy a great meal.",2,1,1
nLsK1qe9TVkxIk1npWmUNA,y4IxZvci970M4iMOXgdh6Q,kZEz0x4wI6R9pdklX22MDA,1,2015-05-11,"The waitress out here Erika is super rude. She  accused me of being there three weeks ago and misbehaving even though i was going there for the first and last time. When i said i am here for the food she said the kitchen was closed. When i said i was for the prime rib event and have a ticket she still refused to let me in and not even offer me a refund, cause i didn't want to eat there anymore. Finally she let me in upon showing the ticket on my app and getting really adamant to understand what the issue was. I really did not appreciate being treated like shit. No wonder the place was empty.",3,1,0
7x9jYnJP0TNMGWGSUjnz9g,CPFUsH0Qc-S1EAZ_rmZBTg,QiuTcA0bKQMCyOFBFJZ58w,5,2016-12-25,"Not sure what's not to love about Tacos Mexico. Gotta be the best Taco shop in LV. Lengua, tripa, al pastor, carnitas. Habanero salsa and see you later. It's without a doubt the spot.",0,0,0
Z_swH6RhBXK8NFfOeZwBEg,co64BGDz5U4i-VOwhJgn5Q,wl0QZqAzr1DelslQ02JGCQ,2,2011-05-11,I wasnt impressed. The pasties  were so so. Not like they are in the U.P.   Service poor. :(,1,0,0
Fe1DvNgkZ8c1ENl4wVrrEg,2soXKg67tzeJU7GKJ5RFuA,ST66dWiUqYnvrD7zT4QBNw,5,2013-11-23,"The best Mexican food I've eaten at a restaurant. It's as close to authentic Mexican food as you can get. AMAZING... It's the same food as the downtown location. Even the enchilada sauce is authentic and homemade, not that canned stuff you get at other restaurants.",0,1,0
wARhse19f0qyErh9s5VB2A,rPsGGR2E1aRXon6MYIfUEA,ZHQU79PMUGCX0fEoyCcWlw,3,2012-09-12,"The smell of jerk spices drew us into this place, and it was pretty good but not great.  The meat is beyond compare- savory, flavorful and satisfying.  The sides are a little disappointing- the plantains are delicious, but the rice and vegetables I had weren't that great. The service was OK.  We all agreed that it wasn't as good as we hoped but that we felt it deserved another chance.One note: we tried to redeem a Restaurant.com certificate and the owner said they had stopped accepting them months ago.  She said she had asked Restaurant.com to take the offer down, and she refused to accept the certificate.  I called Restaurant.com and asked for a refund, and they would only let me exchange it for another restaurant.   I continued to check for a week or two afterwards and the offer remained up.  That was a few months ago, and looking at the website now, they still have the offer, but in a smaller amount.  If you are thinking of purchasing a Restaurant.com certificate for this restaurant, you may want to call them first and make sure they still accept it.",0,0,0
